datetime,event,source,medium,campaign,content,page
2026-08-26 13:24,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-26 13:31,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-26 14:02,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-26 14:07,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-26 14:12,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-26 14:13,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-26 15:28,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-26 15:28,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-26 15:28,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-26 15:28,ticket_redirect,meta,paid_social,nerdycomedyshow,,Ticket Redirect
2026-08-26 15:31,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-26 15:31,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-26 15:31,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-26 15:31,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-26 15:42,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-26 15:49,ticket_redirect,meta,paid_social,nerdycomedyshow,,Ticket Redirect
2026-08-26 16:41,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-26 18:56,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-26 19:29,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-26 20:20,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-26 21:48,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/comedybrew/
2026-08-26 22:16,ticket_click,instagram,social,comedybrew,inyourface_profile,https://inyourfacecomedy.ch/comedybrew/
2026-08-26 23:34,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/comedybrew/
2026-08-27 04:03,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 05:55,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 09:39,ticket_click,meetup,referral,comedybrew,,https://inyourfacecomedy.ch/comedybrew/
2026-08-27 10:19,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 11:22,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 11:30,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 11:36,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 12:06,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-27 12:06,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-27 12:07,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-27 12:26,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 13:01,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 13:01,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 13:26,ticket_click,google,organic,,,https://inyourfacecomedy.ch/calendar/
2026-08-27 13:28,ticket_click,google,organic,,,https://inyourfacecomedy.ch/calendar/
2026-08-27 14:06,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-08-27 14:26,ticket_click,google,organic,,,https://inyourfacecomedy.ch/comedybrew/
2026-08-27 14:40,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-08-27 15:12,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 15:39,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 15:49,ticket_click,chatgpt.com,ai-assistant,,,https://inyourfacecomedy.ch/calendar/
2026-08-27 16:24,ticket_click,google,organic,,,https://inyourfacecomedy.ch/comedybrew/
2026-08-27 16:40,ticket_click,hellozurich.ch,referral,,,https://inyourfacecomedy.ch/
2026-08-27 16:44,ticket_redirect,meetup,referral,comedybrew,,Ticket Redirect
2026-08-27 17:03,ticket_click,google,organic,,,https://inyourfacecomedy.ch/comedybrew/
2026-08-27 17:24,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 17:55,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 17:56,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-27 18:24,ticket_click,hellozurich.ch,referral,,,https://inyourfacecomedy.ch/
2026-08-27 19:18,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-08-28 00:57,ticket_click,meetup,referral,pulpnonfiction,,https://inyourfacecomedy.ch/comedybrew/
2026-08-28 05:18,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-28 05:25,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-28 10:30,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-28 13:33,ticket_redirect,guidle,referral,comedybrew,,Ticket Redirect
2026-08-28 15:01,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-28 16:44,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-28 16:45,ticket_click,google,organic,,,https://inyourfacecomedy.ch/comedybrew/
2026-08-29 16:12,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-29 16:18,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-29 19:36,ticket_click,google,organic,,,https://inyourfacecomedy.ch/calendar/
2026-08-29 22:21,ticket_click,google,organic,,,https://inyourfacecomedy.ch/comedybrew/
2026-08-30 11:33,ticket_redirect,test,verify,linktest,go-link-dim,Ticket Redirect
2026-08-30 11:33,ticket_redirect,test,verify,linktest,go-link-dim,Ticket Redirect
2026-08-30 15:53,ticket_click,google,organic,,,https://inyourfacecomedy.ch/calendar/
2026-08-30 16:37,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/comedybrew/
2026-08-30 16:50,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/
2026-08-30 17:53,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-30 17:53,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-30 17:56,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-30 18:01,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-08-30 19:36,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-31 20:30,ticket_redirect,meta,paid_social,comedybrew,120203748201470314,Ticket Redirect
2026-08-31 21:03,ticket_redirect,guidle,referral,comedybrew,,Ticket Redirect
2026-09-01 06:43,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
2026-09-01 06:53,ticket_redirect,meta,paid_social,comedybrew,,Ticket Redirect
