datetime,event,source,medium,campaign,content,page
2026-09-05 11:59,ticket_click,test,verify,linktest,go-link-dim,https://inyourfacecomedy.ch/calendar/
2026-09-07 09:16,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/calendar/
2026-09-07 21:14,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/calendar/
2026-09-14 18:31,ticket_click,google,organic,,,https://inyourfacecomedy.ch/calendar/
2026-09-14 18:31,ticket_click,google,organic,,,https://inyourfacecomedy.ch/calendar/
2026-09-14 18:32,ticket_click,google,organic,,,https://inyourfacecomedy.ch/calendar/
2026-09-17 00:39,ticket_click,eventfrog.ch,referral,,,https://inyourfacecomedy.ch/
2026-09-18 07:44,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-09-20 18:12,ticket_click,instagram,social,calendar,week,https://inyourfacecomedy.ch/calendar/
2026-09-22 14:36,ticket_click,instagram,social,calendar,inyourface_profile,https://inyourfacecomedy.ch/gratis-zum-mitnehmen/
