datetime,event,source,medium,campaign,content,page
2026-08-26 13:41,ticket_redirect,meta,paid_social,nerdycomedyshow,,Ticket Redirect
2026-08-26 20:55,ticket_click,IN YOUR FACE Comedy,email,7ea6a7d246-XMas_2025_COPY_01,,https://inyourfacecomedy.ch/nerdycomedyshow/
2026-08-27 12:13,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-27 22:51,ticket_redirect,google-business,referral,nerdycomedyshow,,Ticket Redirect
2026-08-27 22:54,ticket_click,instagram,social,jackpotcomedy,,https://inyourfacecomedy.ch/
2026-08-28 21:35,ticket_redirect,instagram,social,nerdycomedyshow,inyourface-story,Ticket Redirect
2026-08-28 21:35,ticket_redirect,instagram,social,nerdycomedyshow,inyourface-story,Ticket Redirect
2026-08-28 21:35,ticket_redirect,instagram,social,nerdycomedyshow,inyourface-story,Ticket Redirect
2026-08-28 23:54,ticket_click,google,organic,,,https://inyourfacecomedy.ch/nerdycomedyshow/
2026-08-29 00:15,ticket_redirect,(direct),(none),,,Ticket Redirect
