datetime,event,source,medium,campaign,content,page
2026-08-27 12:48,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-27 13:01,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-27 13:30,ticket_redirect,instagram,bio,,link_in_bio,Ticket Redirect
2026-08-27 15:34,ticket_redirect,facebook,social,promessi-spassi,,Ticket Redirect
2026-08-27 15:36,ticket_redirect,facebook,social,promessi-spassi,,Ticket Redirect
2026-08-27 15:36,ticket_redirect,facebook,social,promessi-spassi,,Ticket Redirect
2026-08-27 15:38,ticket_redirect,instagram,social,promessi-spassi,,Ticket Redirect
2026-08-27 15:38,ticket_redirect,instagram,social,promessi-spassi,,Ticket Redirect
2026-08-27 15:38,ticket_redirect,instagram,social,promessi-spassi,link_in_bio,Ticket Redirect
2026-08-27 15:39,ticket_redirect,instagram,social,promessi-spassi,link_in_bio,Ticket Redirect
2026-08-27 15:51,ticket_redirect,instagram,social,promessi-spassi,,Ticket Redirect
2026-08-27 16:14,ticket_redirect,instagram,social,promessi-spassi,link_in_bio,Ticket Redirect
2026-08-27 16:14,ticket_redirect,instagram,social,promessi-spassi,link_in_bio,Ticket Redirect
2026-08-28 12:53,ticket_redirect,instagram,social,promessi-spassi,link_in_bio,Ticket Redirect
2026-08-28 14:13,ticket_redirect,instagram,social,promessi-spassi,link_in_bio,Ticket Redirect
2026-08-29 10:25,ticket_redirect,instagram,social,promessi-spassi,link_in_bio,Ticket Redirect
2026-08-30 14:39,ticket_redirect,meta,paid_social,promessi-spassi,,Ticket Redirect
2026-08-30 21:29,ticket_redirect,meta,paid_social,promessi-spassi,,Ticket Redirect
2026-08-30 21:29,ticket_redirect,meta,paid_social,promessi-spassi,,Ticket Redirect
2026-08-30 21:29,ticket_redirect,meta,paid_social,promessi-spassi,,Ticket Redirect
2026-08-30 21:54,ticket_redirect,meta,paid_social,promessi-spassi,,Ticket Redirect
2026-08-30 22:01,ticket_redirect,meta,paid_social,promessi-spassi,,Ticket Redirect
2026-08-30 22:17,ticket_redirect,meta,paid_social,promessi-spassi,,Ticket Redirect
2026-08-30 22:17,ticket_redirect,meta,paid_social,promessi-spassi,,Ticket Redirect
2026-08-30 22:17,ticket_redirect,meta,paid_social,promessi-spassi,,Ticket Redirect
2026-08-30 22:17,ticket_redirect,meta,paid_social,promessi-spassi,,Ticket Redirect
2026-08-30 22:17,ticket_redirect,meta,paid_social,promessi-spassi,,Ticket Redirect
2026-08-30 22:32,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-30 22:32,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-30 22:35,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 00:03,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 00:14,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 00:15,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 00:56,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 01:12,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 02:20,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 05:59,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 06:48,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 06:58,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 07:57,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 08:06,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 08:18,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
2026-08-31 09:02,ticket_redirect,meta,paid_social,promessi-spassi,52672431580800,Ticket Redirect
