datetime,event,source,medium,campaign,content,page
2026-08-26 14:13,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-27 15:40,ticket_click,meetup,referral,promessi-spassi,,https://inyourfacecomedy.ch/pulpnonfiction/
2026-08-27 15:41,ticket_click,meetup,referral,promessi-spassi,,https://inyourfacecomedy.ch/pulpnonfiction/
2026-08-27 16:04,ticket_redirect,meetup,referral,pulpnonfiction,,Ticket Redirect
2026-08-30 14:58,ticket_click,google,organic,,,https://inyourfacecomedy.ch/calendar/
2026-09-04 14:05,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-09-05 10:09,ticket_click,test,verify,linktest,go-link-dim,https://inyourfacecomedy.ch/
2026-09-05 11:01,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/
2026-09-05 11:34,ticket_redirect,instagram,social,pulpnonfiction-20260906,,Ticket Redirect
2026-09-05 11:34,ticket_redirect,instagram,social,pulpnonfiction-20260906,,Ticket Redirect
2026-09-05 11:39,ticket_redirect,instagram,social,pulpnonfiction-20260906,,Ticket Redirect
2026-09-05 11:42,ticket_click,test,verify,linktest,go-link-dim,https://inyourfacecomedy.ch/pulpnonfiction/
2026-09-05 11:44,ticket_redirect,instagram,social,pulpnonfiction-20260906,,Ticket Redirect
2026-09-05 13:18,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/pulpnonfiction/
