datetime,event,source,medium,campaign,content,page
2026-08-31 10:52,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-09-03 09:50,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-09-05 13:54,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-08 21:05,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-10 17:40,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-10 17:40,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-10 20:10,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/
2026-09-13 20:06,ticket_click,google,organic,,,https://inyourfacecomedy.ch/calendar/
2026-09-13 21:23,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-09-15 15:38,ticket_click,guidle,referral,home,,https://inyourfacecomedy.ch/
2026-09-15 19:18,ticket_click,google,organic,,,https://inyourfacecomedy.ch/calendar/
2026-09-16 16:20,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/calendar/
2026-09-16 19:54,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-09-17 07:53,ticket_click,eventfrog.ch,referral,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-17 14:04,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-17 14:11,ticket_click,ecosia.org,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-17 14:12,ticket_click,ecosia.org,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-17 14:47,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-17 14:48,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-17 15:13,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-17 16:57,ticket_click,chatgpt.com,ai-assistant,,,https://inyourfacecomedy.ch/calendar/
2026-09-17 17:22,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-17 17:53,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-17 20:15,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-17 20:15,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-21 12:53,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
2026-09-21 15:13,ticket_click,google,organic,,,https://inyourfacecomedy.ch/randomfactsexchange/
